#BLOCK:          ACTUAL_KE:             KE_AVE:              ERROR:
    243       1.6075444e+00       2.2520368e+00       3.6867616e-02
    244       1.6090782e+00       2.2494017e+00       3.6810569e-02
    245       1.6105589e+00       2.2467942e+00       3.6752559e-02
    246       1.6119869e+00       2.2442137e+00       3.6693640e-02
    247       1.6133634e+00       2.2416597e+00       3.6633862e-02
    248       1.6146899e+00       2.2391315e+00       3.6573273e-02
    249       1.6159687e+00       2.2366289e+00       3.6511919e-02
    250       1.6172013e+00       2.2341512e+00       3.6449843e-02
    251       1.6183884e+00       2.2316979e+00       3.6387088e-02
    252       1.6195316e+00       2.2292687e+00       3.6323693e-02
    253       1.6206327e+00       2.2268630e+00       3.6259696e-02
    254       1.6216938e+00       2.2244805e+00       3.6195133e-02
    255       1.6227169e+00       2.2221206e+00       3.6130039e-02
    256       1.6237037e+00       2.2197831e+00       3.6064445e-02
    257       1.6246561e+00       2.2174674e+00       3.5998384e-02
    258       1.6255765e+00       2.2151732e+00       3.5931883e-02
    259       1.6264668e+00       2.2129002e+00       3.5864971e-02
    260       1.6273294e+00       2.2106480e+00       3.5797674e-02
    261       1.6281662e+00       2.2084163e+00       3.5730017e-02
    262       1.6289786e+00       2.2062047e+00       3.5662023e-02
    263       1.6297686e+00       2.2040129e+00       3.5593715e-02
    264       1.6305384e+00       2.2018407e+00       3.5525114e-02
    265       1.6312902e+00       2.1996877e+00       3.5456239e-02
    266       1.6320259e+00       2.1975536e+00       3.5387110e-02
    267       1.6327463e+00       2.1954382e+00       3.5317745e-02
    268       1.6334524e+00       2.1933413e+00       3.5248160e-02
    269       1.6341459e+00       2.1912625e+00       3.5178372e-02
    270       1.6348286e+00       2.1892016e+00       3.5108396e-02
    271       1.6355013e+00       2.1871584e+00       3.5038246e-02
    272       1.6361656e+00       2.1851327e+00       3.4967938e-02
    273       1.6368216e+00       2.1831242e+00       3.4897483e-02
    274       1.6374705e+00       2.1811328e+00       3.4826894e-02
    275       1.6381131e+00       2.1791582e+00       3.4756185e-02
    276       1.6387493e+00       2.1772002e+00       3.4685365e-02
    277       1.6393798e+00       2.1752586e+00       3.4614447e-02
    278       1.6400046e+00       2.1733332e+00       3.4543441e-02
    279       1.6406240e+00       2.1714239e+00       3.4472358e-02
    280       1.6412384e+00       2.1695304e+00       3.4401207e-02
    281       1.6418478e+00       2.1676525e+00       3.4329999e-02
    282       1.6424520e+00       2.1657901e+00       3.4258742e-02
    283       1.6430502e+00       2.1639429e+00       3.4187446e-02
    284       1.6436422e+00       2.1621109e+00       3.4116121e-02
    285       1.6442278e+00       2.1602938e+00       3.4044774e-02
    286       1.6448067e+00       2.1584914e+00       3.3973414e-02
    287       1.6453784e+00       2.1567035e+00       3.3902050e-02
    288       1.6459429e+00       2.1549300e+00       3.3830690e-02
    289       1.6465003e+00       2.1531708e+00       3.3759340e-02
    290       1.6470501e+00       2.1514255e+00       3.3688010e-02
    291       1.6475910e+00       2.1496941e+00       3.3616707e-02
