#BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
    363      -5.0512964e+00      -5.4184968e+00       2.8803338e-02
    364      -5.0513178e+00      -5.4174881e+00       2.8741867e-02
    365      -5.0511324e+00      -5.4164843e+00       2.8680642e-02
    366      -5.0505892e+00      -5.4154846e+00       2.8619698e-02
    367      -5.0505936e+00      -5.4144904e+00       2.8558980e-02
    368      -5.0502392e+00      -5.4135006e+00       2.8498522e-02
    369      -5.0501302e+00      -5.4125158e+00       2.8438298e-02
    370      -5.0496628e+00      -5.4115351e+00       2.8378342e-02
    371      -5.0491396e+00      -5.4105583e+00       2.8318657e-02
    372      -5.0487125e+00      -5.4095856e+00       2.8259232e-02
    373      -5.0479295e+00      -5.4086160e+00       2.8200099e-02
    374      -5.0473959e+00      -5.4076502e+00       2.8141232e-02
    375      -5.0466607e+00      -5.4066876e+00       2.8082649e-02
    376      -5.0458767e+00      -5.4057280e+00       2.8024351e-02
    377      -5.0453476e+00      -5.4047721e+00       2.7966314e-02
    378      -5.0446223e+00      -5.4038193e+00       2.7908555e-02
    379      -5.0437028e+00      -5.4028691e+00       2.7851087e-02
    380      -5.0428936e+00      -5.4019218e+00       2.7793901e-02
    381      -5.0418948e+00      -5.4009768e+00       2.7737010e-02
    382      -5.0408602e+00      -5.4000341e+00       2.7680416e-02
    383      -5.0399433e+00      -5.3990939e+00       2.7624105e-02
    384      -5.0388453e+00      -5.3981558e+00       2.7568093e-02
    385      -5.0380217e+00      -5.3972204e+00       2.7512353e-02
    386      -5.0370223e+00      -5.3962872e+00       2.7456898e-02
    387      -5.0350954e+00      -5.3953539e+00       2.7401808e-02
    388      -5.0339067e+00      -5.3944224e+00       2.7347015e-02
    389      -5.0330051e+00      -5.3934933e+00       2.7292492e-02
    390      -5.0317890e+00      -5.3925658e+00       2.7238265e-02
    391      -5.0305631e+00      -5.3916400e+00       2.7184332e-02
    392      -5.0294810e+00      -5.3907161e+00       2.7130679e-02
    393      -5.0282435e+00      -5.3897938e+00       2.7077317e-02
    394      -5.0273064e+00      -5.3888738e+00       2.7024219e-02
    395      -5.0263712e+00      -5.3879560e+00       2.6971381e-02
    396      -5.0251383e+00      -5.3870398e+00       2.6918829e-02
    397      -5.0242144e+00      -5.3861259e+00       2.6866533e-02
    398      -5.0233007e+00      -5.3852143e+00       2.6814491e-02
    399      -5.0220967e+00      -5.3843042e+00       2.6762726e-02
    400      -5.0209068e+00      -5.3833957e+00       2.6711234e-02
    401      -5.0203379e+00      -5.3824903e+00       2.6659962e-02
    402      -5.0191836e+00      -5.3815866e+00       2.6608958e-02
    403      -5.0182011e+00      -5.3806849e+00       2.6558204e-02
    404      -5.0172415e+00      -5.3797853e+00       2.6507698e-02
    405      -5.0161557e+00      -5.3788874e+00       2.6457448e-02
    406      -5.0153993e+00      -5.3779921e+00       2.6407426e-02
    407      -5.0142197e+00      -5.3770984e+00       2.6357664e-02
    408      -5.0133734e+00      -5.3762069e+00       2.6308134e-02
