--------------------------------------------------
SIMULATED ANNEALING
--------------------------------------------------
 BETA:            MU:         SIGMA:                <H>:                ERR:         ACC_X:     ACC_BOLTZ:
 960.0        0.82197        0.61916       -0.4418229943        0.0008060452        0.52706        0.04412
 970.0        0.82197        0.61916       -0.4418229943        0.0008060452        0.51551        0.00339
 970.0        0.78581        0.60925       -0.4447033710        0.0007276646        0.52177        1.00000
 980.0        0.78581        0.60925       -0.4447033710        0.0007276646        0.51198        0.00021
 980.0        0.78581        0.60925       -0.4447033710        0.0007276646        0.50676        0.00000
 990.0        0.78581        0.60925       -0.4447033710        0.0007276646        0.52819        0.78552
 990.0        0.78581        0.60925       -0.4447033710        0.0007276646        0.49971        0.00000
1000.0        0.78581        0.60925       -0.4447033710        0.0007276646        0.50368        0.00000
1000.0        0.78581        0.60925       -0.4447033710        0.0007276646        0.50954        0.00002
1010.0        0.78581        0.60925       -0.4447033710        0.0007276646        0.51536        0.00338
1010.0        0.78581        0.60925       -0.4447033710        0.0007276646        0.54242        0.00001
1020.0        0.78581        0.60925       -0.4447033710        0.0007276646        0.51030        0.00001
1020.0        0.78581        0.60925       -0.4447033710        0.0007276646        0.51195        0.00015
1030.0        0.78581        0.60925       -0.4447033710        0.0007276646        0.53402        0.00170
1030.0        0.78581        0.60925       -0.4447033710        0.0007276646        0.52361        0.00860
1040.0        0.78581        0.60925       -0.4447033710        0.0007276646        0.50590        0.00000
1040.0        0.80754        0.61557       -0.4433130254        0.0007250181        0.52853        0.23552
1050.0        0.80754        0.61557       -0.4433130254        0.0007250181        0.55130        0.00000
1050.0        0.80754        0.61557       -0.4433130254        0.0007250181        0.51459        0.00519
1060.0        0.80754        0.61557       -0.4433130254        0.0007250181        0.52911        0.24848
1060.0        0.78843        0.62095       -0.4432864084        0.0010762645        0.52609        0.97218
1070.0        0.78978        0.61722       -0.4446391287        0.0007329386        0.52493        1.00000
1070.0        0.78978        0.61722       -0.4446391287        0.0007329386        0.50967        0.00001
1080.0        0.78978        0.61722       -0.4446391287        0.0007329386        0.51676        0.01434
1080.0        0.78978        0.61722       -0.4446391287        0.0007329386        0.52879        0.00265
1090.0        0.78978        0.61722       -0.4446391287        0.0007329386        0.51806        0.00108
1090.0        0.78978        0.61722       -0.4446391287        0.0007329386        0.51781        0.00931
1100.0        0.78978        0.61722       -0.4446391287        0.0007329386        0.52005        0.09664
1100.0        0.78978        0.61722       -0.4446391287        0.0007329386        0.51612        0.00472
1110.0        0.78978        0.61722       -0.4446391287        0.0007329386        0.51583        0.00011
1110.0        0.78978        0.61722       -0.4446391287        0.0007329386        0.50985        0.00001
1120.0        0.78978        0.61722       -0.4446391287        0.0007329386        0.51537        0.00000
1120.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.52857        0.89261
1130.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.52675        0.00000
1130.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.52889        0.10110
1140.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.52283        0.12384
1140.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.51756        0.00098
1150.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.53866        0.00159
1150.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.53697        0.02721
1160.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.55223        0.00000
1160.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.52321        0.12167
1170.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.54089        0.00007
1170.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.53206        0.00000
1180.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.51831        0.00211
1180.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.53006        0.00000
1190.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.51177        0.00000
1190.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.51068        0.00000
1200.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.49994        0.00000
1200.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.54360        0.00000
1210.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.50593        0.00000
1210.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.51403        0.00055
1220.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.51095        0.00000
