#BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
    281       7.0645008e-01       7.8527640e-01       2.0524179e-02
    282       7.0791906e-01       7.8500208e-01       2.0453232e-02
    283       7.0941101e-01       7.8473498e-01       2.0382703e-02
    284       7.1092536e-01       7.8447508e-01       2.0312589e-02
    285       7.1246117e-01       7.8422240e-01       2.0242889e-02
    286       7.1401804e-01       7.8397693e-01       2.0173598e-02
    287       7.1559528e-01       7.8373867e-01       2.0104713e-02
    288       7.1719246e-01       7.8350761e-01       2.0036233e-02
    289       7.1880939e-01       7.8328374e-01       1.9968154e-02
    290       7.2044528e-01       7.8306705e-01       1.9900474e-02
    291       7.2209962e-01       7.8285754e-01       1.9833190e-02
    292       7.2377098e-01       7.8265519e-01       1.9766301e-02
    293       7.2545774e-01       7.8245998e-01       1.9699803e-02
    294       7.2715975e-01       7.8227188e-01       1.9633695e-02
    295       7.2887568e-01       7.8209088e-01       1.9567974e-02
    296       7.3060489e-01       7.8191694e-01       1.9502639e-02
    297       7.3234679e-01       7.8175004e-01       1.9437688e-02
    298       7.3409927e-01       7.8159013e-01       1.9373119e-02
    299       7.3586157e-01       7.8143720e-01       1.9308929e-02
    300       7.3763264e-01       7.8129118e-01       1.9245118e-02
    301       7.3941127e-01       7.8115204e-01       1.9181684e-02
    302       7.4119692e-01       7.8101974e-01       1.9118625e-02
    303       7.4298890e-01       7.8089423e-01       1.9055939e-02
    304       7.4478560e-01       7.8077545e-01       1.8993625e-02
    305       7.4658525e-01       7.8066335e-01       1.8931682e-02
    306       7.4838676e-01       7.8055787e-01       1.8870107e-02
    307       7.5018946e-01       7.8045895e-01       1.8808900e-02
    308       7.5199302e-01       7.8036653e-01       1.8748060e-02
    309       7.5379619e-01       7.8028054e-01       1.8687583e-02
    310       7.5559728e-01       7.8020092e-01       1.8627470e-02
    311       7.5739490e-01       7.8012759e-01       1.8567719e-02
    312       7.5918787e-01       7.8006047e-01       1.8508329e-02
    313       7.6097534e-01       7.7999950e-01       1.8449297e-02
    314       7.6275647e-01       7.7994458e-01       1.8390623e-02
    315       7.6452999e-01       7.7989565e-01       1.8332305e-02
    316       7.6629506e-01       7.7985261e-01       1.8274342e-02
    317       7.6805043e-01       7.7981538e-01       1.8216732e-02
    318       7.6979494e-01       7.7978387e-01       1.8159474e-02
    319       7.7152754e-01       7.7975799e-01       1.8102567e-02
    320       7.7324807e-01       7.7973764e-01       1.8046007e-02
    321       7.7495546e-01       7.7972274e-01       1.7989796e-02
    322       7.7664767e-01       7.7971319e-01       1.7933929e-02
    323       7.7832366e-01       7.7970889e-01       1.7878407e-02
    324       7.7998247e-01       7.7970974e-01       1.7823226e-02
    325       7.8162392e-01       7.7971563e-01       1.7768387e-02
    326       7.8324721e-01       7.7972646e-01       1.7713886e-02
    327       7.8485083e-01       7.7974213e-01       1.7659722e-02
    328       7.8643346e-01       7.7976253e-01       1.7605893e-02
    329       7.8799392e-01       7.7978755e-01       1.7552397e-02
    330       7.8953196e-01       7.7981708e-01       1.7499233e-02
    331       7.9104712e-01       7.7985101e-01       1.7446398e-02
    332       7.9253764e-01       7.7988922e-01       1.7393891e-02
    333       7.9400218e-01       7.7993160e-01       1.7341708e-02
    334       7.9544033e-01       7.7997803e-01       1.7289849e-02
    335       7.9685174e-01       7.8002840e-01       1.7238311e-02
    336       7.9823523e-01       7.8008259e-01       1.7187092e-02
    337       7.9959020e-01       7.8014048e-01       1.7136189e-02
    338       8.0091678e-01       7.8020194e-01       1.7085600e-02
    339       8.0221361e-01       7.8026688e-01       1.7035324e-02
    340       8.0347967e-01       7.8033515e-01       1.6985357e-02
    341       8.0471450e-01       7.8040664e-01       1.6935697e-02
    342       8.0591692e-01       7.8048123e-01       1.6886341e-02
    343       8.0708664e-01       7.8055880e-01       1.6837288e-02
    344       8.0822340e-01       7.8063922e-01       1.6788535e-02
    345       8.0932684e-01       7.8072237e-01       1.6740078e-02
    346       8.1039639e-01       7.8080814e-01       1.6691916e-02
    347       8.1143092e-01       7.8089639e-01       1.6644046e-02
    348       8.1243010e-01       7.8098700e-01       1.6596465e-02
    349       8.1339490e-01       7.8107986e-01       1.6549170e-02
    350       8.1432461e-01       7.8117484e-01       1.6502160e-02
    351       8.1521866e-01       7.8127184e-01       1.6455430e-02
    352       8.1607684e-01       7.8137071e-01       1.6408979e-02
    353       8.1689804e-01       7.8147136e-01       1.6362803e-02
    354       8.1768235e-01       7.8157365e-01       1.6316900e-02
    355       8.1843008e-01       7.8167747e-01       1.6271267e-02
    356       8.1914073e-01       7.8178270e-01       1.6225902e-02
    357       8.1981407e-01       7.8188923e-01       1.6180801e-02
    358       8.2045032e-01       7.8199695e-01       1.6135961e-02
    359       8.2104964e-01       7.8210573e-01       1.6091381e-02
    360       8.2161199e-01       7.8221547e-01       1.6047057e-02
    361       8.2213705e-01       7.8232605e-01       1.6002986e-02
    362       8.2262497e-01       7.8243738e-01       1.5959167e-02
    363       8.2307547e-01       7.8254933e-01       1.5915595e-02
    364       8.2348895e-01       7.8266180e-01       1.5872268e-02
    365       8.2386618e-01       7.8277469e-01       1.5829184e-02
    366       8.2420681e-01       7.8288789e-01       1.5786339e-02
    367       8.2451051e-01       7.8300130e-01       1.5743732e-02
    368       8.2477780e-01       7.8311483e-01       1.5701359e-02
    369       8.2500994e-01       7.8322836e-01       1.5659219e-02
    370       8.2520769e-01       7.8334182e-01       1.5617308e-02
    371       8.2537078e-01       7.8345511e-01       1.5575623e-02
    372       8.2549888e-01       7.8356813e-01       1.5534163e-02
    373       8.2559275e-01       7.8368079e-01       1.5492925e-02
