--------------------------------------------------
SIMULATED ANNEALING
--------------------------------------------------
 BETA:            MU:         SIGMA:                <H>:                ERR:         ACC_X:     ACC_BOLTZ:
3010.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.51796        0.00000
3010.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52361        0.00091
3010.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52931        0.00003
3010.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.51933        0.00000
3010.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52071        0.00000
3060.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.51840        0.00000
3060.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53461        0.00002
3060.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53211        0.00090
3060.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52777        0.00082
3060.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52149        0.00001
3110.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52347        0.00000
3110.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52582        0.02720
3110.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52036        0.00001
3110.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.51612        0.00000
3110.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53060        0.00000
3160.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.51696        0.00000
3160.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53252        0.00048
3160.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.51892        0.00001
3160.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52238        0.00410
3160.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52804        0.21587
3210.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53164        0.00005
3210.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52198        0.00000
3210.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52581        0.00030
3210.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52953        0.00032
3210.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52401        0.00050
3260.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52377        0.00070
3260.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52940        0.02201
3260.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53314        0.00014
3260.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53016        0.00001
3260.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52465        0.07949
3310.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52436        0.00001
3310.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52756        0.08296
3310.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52226        0.00001
3310.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53260        0.00508
3310.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52333        0.00007
3360.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53248        0.00000
3360.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.51552        0.00000
3360.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52696        0.01572
3360.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53181        0.00001
3360.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52088        0.00000
